last_price,persian_date,adjClose,date,prev_price,symbol
36564,1399-01-20,12000.0,2020-04-08,,صبا
36564,1399-01-23,12161.0,2020-04-11,12000.0,صبا
36564,1399-01-24,12769.0,2020-04-12,12161.0,صبا
36564,1399-01-25,13407.0,2020-04-13,12769.0,صبا
36564,1399-01-26,14077.0,2020-04-14,13407.0,صبا
36564,1399-01-27,14780.0,2020-04-15,14077.0,صبا
36564,1399-01-30,15260.0,2020-04-18,14780.0,صبا
36564,1399-01-31,16023.0,2020-04-19,15260.0,صبا
36564,1399-02-01,16547.0,2020-04-20,16023.0,صبا
36564,1399-02-02,17256.0,2020-04-21,16547.0,صبا
36564,1399-02-03,18118.0,2020-04-22,17256.0,صبا
36564,1399-02-07,19920.0,2020-04-26,18118.0,صبا
36564,1399-02-08,20916.0,2020-04-27,19920.0,صبا
36564,1399-02-09,21953.0,2020-04-28,20916.0,صبا
36564,1399-02-10,23050.0,2020-04-29,21953.0,صبا
36564,1399-02-13,24202.0,2020-05-02,23050.0,صبا
36564,1399-02-14,25412.0,2020-05-03,24202.0,صبا
36564,1399-02-15,26682.0,2020-05-04,25412.0,صبا
36564,1399-02-16,26231.0,2020-05-05,26682.0,صبا
36564,1399-02-17,26391.0,2020-05-06,26231.0,صبا
36564,1399-02-20,28379.0,2020-05-09,26391.0,صبا
36564,1399-02-21,27985.0,2020-05-10,28379.0,صبا
36564,1399-02-22,26586.0,2020-05-11,27985.0,صبا
36564,1399-02-23,25257.0,2020-05-12,26586.0,صبا
36564,1399-02-24,23995.0,2020-05-13,25257.0,صبا
36564,1399-02-27,23413.0,2020-05-16,23995.0,صبا
36564,1399-02-28,22243.0,2020-05-17,23413.0,صبا
36564,1399-02-29,23068.0,2020-05-18,22243.0,صبا
36564,1399-02-30,22153.0,2020-05-19,23068.0,صبا
36564,1399-02-31,21146.0,2020-05-20,22153.0,صبا
36564,1399-03-03,21636.0,2020-05-23,21146.0,صبا
36564,1399-03-06,21400.0,2020-05-26,21636.0,صبا
36564,1399-03-07,21499.0,2020-05-27,21400.0,صبا
36564,1399-03-10,22515.0,2020-05-30,21499.0,صبا
36564,1399-03-11,22465.0,2020-05-31,22515.0,صبا
36564,1399-03-12,22096.0,2020-06-01,22465.0,صبا
36564,1399-03-13,22972.0,2020-06-02,22096.0,صبا
36564,1399-03-17,23967.0,2020-06-06,22972.0,صبا
36564,1399-03-18,25110.0,2020-06-07,23967.0,صبا
36564,1399-03-19,24226.0,2020-06-08,25110.0,صبا
36564,1399-03-20,23320.0,2020-06-09,24226.0,صبا
36564,1399-03-21,23455.0,2020-06-10,23320.0,صبا
36564,1399-03-24,24492.0,2020-06-13,23455.0,صبا
36564,1399-03-25,24038.0,2020-06-14,24492.0,صبا
36564,1399-03-26,24120.0,2020-06-15,24038.0,صبا
36564,1399-03-27,24321.0,2020-06-16,24120.0,صبا
36564,1399-03-31,25322.0,2020-06-20,24321.0,صبا
36564,1399-04-01,26350.0,2020-06-21,25322.0,صبا
36564,1399-04-02,27390.0,2020-06-22,26350.0,صبا
36564,1399-04-03,28454.0,2020-06-23,27390.0,صبا
36564,1399-04-04,28142.0,2020-06-24,28454.0,صبا
36564,1399-04-07,29459.0,2020-06-27,28142.0,صبا
36564,1399-04-08,29258.0,2020-06-28,29459.0,صبا
36564,1399-04-09,28043.0,2020-06-29,29258.0,صبا
36564,1399-04-10,29388.0,2020-06-30,28043.0,صبا
36564,1399-04-11,30818.0,2020-07-01,29388.0,صبا
36564,1399-04-14,30470.0,2020-07-04,30818.0,صبا
36564,1399-04-15,31265.0,2020-07-05,30470.0,صبا
36564,1399-04-16,32828.0,2020-07-06,31265.0,صبا
36564,1399-04-17,34469.0,2020-07-07,32828.0,صبا
36564,1399-04-18,35915.0,2020-07-08,34469.0,صبا
36564,1399-04-21,37057.0,2020-07-11,35915.0,صبا
36564,1399-04-22,38846.0,2020-07-12,37057.0,صبا
36564,1399-04-23,38641.0,2020-07-13,38846.0,صبا
36564,1399-04-24,37660.0,2020-07-14,38641.0,صبا
36564,1399-04-25,35777.0,2020-07-15,37660.0,صبا
36564,1399-04-28,33989.0,2020-07-18,35777.0,صبا
36564,1399-04-29,35464.0,2020-07-19,33989.0,صبا
36564,1399-04-30,36564.0,2020-07-20,35464.0,صبا
22509,1399-01-16,6389.0,2020-04-04,,شگویا
22509,1399-01-17,6572.0,2020-04-05,6389.0,شگویا
22509,1399-01-18,7219.0,2020-04-06,6572.0,شگویا
22509,1399-01-19,7579.0,2020-04-07,7219.0,شگویا
22509,1399-01-20,7957.0,2020-04-08,7579.0,شگویا
22509,1399-01-23,8354.0,2020-04-11,7957.0,شگویا
22509,1399-01-24,8674.0,2020-04-12,8354.0,شگویا
22509,1399-01-25,8868.0,2020-04-13,8674.0,شگویا
22509,1399-01-26,8425.0,2020-04-14,8868.0,شگویا
22509,1399-01-27,8396.0,2020-04-15,8425.0,شگویا
22509,1399-01-30,8815.0,2020-04-18,8396.0,شگویا
22509,1399-01-31,8973.0,2020-04-19,8815.0,شگویا
22509,1399-02-01,9414.0,2020-04-20,8973.0,شگویا
22509,1399-02-02,9884.0,2020-04-21,9414.0,شگویا
22509,1399-02-03,10378.0,2020-04-22,9884.0,شگویا
22509,1399-02-06,10896.0,2020-04-25,10378.0,شگویا
22509,1399-02-07,11986.0,2020-04-26,10896.0,شگویا
22509,1399-02-08,12575.0,2020-04-27,11986.0,شگویا
22509,1399-02-09,12300.0,2020-04-28,12575.0,شگویا
22509,1399-02-13,13557.0,2020-05-02,12300.0,شگویا
22509,1399-02-14,14234.0,2020-05-03,13557.0,شگویا
22509,1399-02-15,14854.0,2020-05-04,14234.0,شگویا
22509,1399-02-16,14113.0,2020-05-05,14854.0,شگویا
22509,1399-02-17,13512.0,2020-05-06,14113.0,شگویا
22509,1399-02-20,14106.0,2020-05-09,13512.0,شگویا
22509,1399-02-21,13744.0,2020-05-10,14106.0,شگویا
22509,1399-02-22,13057.0,2020-05-11,13744.0,شگویا
22509,1399-02-23,12511.0,2020-05-12,13057.0,شگویا
22509,1399-02-24,11886.0,2020-05-13,12511.0,شگویا
22509,1399-02-27,11626.0,2020-05-16,11886.0,شگویا
22509,1399-02-28,11045.0,2020-05-17,11626.0,شگویا
22509,1399-02-29,11511.0,2020-05-18,11045.0,شگویا
22509,1399-02-30,11782.0,2020-05-19,11511.0,شگویا
22509,1399-02-31,11232.0,2020-05-20,11782.0,شگویا
22509,1399-03-03,10852.0,2020-05-23,11232.0,شگویا
22509,1399-03-06,10457.0,2020-05-26,10852.0,شگویا
22509,1399-03-07,10419.0,2020-05-27,10457.0,شگویا
22509,1399-03-10,10908.0,2020-05-30,10419.0,شگویا
22509,1399-03-11,10877.0,2020-05-31,10908.0,شگویا
22509,1399-03-12,10792.0,2020-06-01,10877.0,شگویا
22509,1399-03-13,11188.0,2020-06-02,10792.0,شگویا
22509,1399-03-17,11714.0,2020-06-06,11188.0,شگویا
22509,1399-03-21,12126.0,2020-06-10,11714.0,شگویا
22509,1399-03-24,12140.0,2020-06-13,12126.0,شگویا
22509,1399-03-25,11598.0,2020-06-14,12140.0,شگویا
22509,1399-03-26,11411.0,2020-06-15,11598.0,شگویا
22509,1399-03-27,11816.0,2020-06-16,11411.0,شگویا
22509,1399-03-31,12391.0,2020-06-20,11816.0,شگویا
22509,1399-04-01,13010.0,2020-06-21,12391.0,شگویا
22509,1399-04-02,13583.0,2020-06-22,13010.0,شگویا
22509,1399-04-03,14147.0,2020-06-23,13583.0,شگویا
22509,1399-04-04,14563.0,2020-06-24,14147.0,شگویا
22509,1399-04-07,15264.0,2020-06-27,14563.0,شگویا
22509,1399-04-08,15578.0,2020-06-28,15264.0,شگویا
22509,1399-04-09,15742.0,2020-06-29,15578.0,شگویا
22509,1399-04-10,16529.0,2020-06-30,15742.0,شگویا
22509,1399-04-11,17352.0,2020-07-01,16529.0,شگویا
22509,1399-04-14,17244.0,2020-07-04,17352.0,شگویا
22509,1399-04-15,17608.0,2020-07-05,17244.0,شگویا
22509,1399-04-18,17937.0,2020-07-08,17608.0,شگویا
22509,1399-04-21,18489.0,2020-07-11,17937.0,شگویا
22509,1399-04-22,19413.0,2020-07-12,18489.0,شگویا
22509,1399-04-23,20369.0,2020-07-13,19413.0,شگویا
22509,1399-04-24,21387.0,2020-07-14,20369.0,شگویا
22509,1399-04-25,22456.0,2020-07-15,21387.0,شگویا
22509,1399-04-28,21334.0,2020-07-18,22456.0,شگویا
22509,1399-04-29,21439.0,2020-07-19,21334.0,شگویا
22509,1399-04-30,22509.0,2020-07-20,21439.0,شگویا
51990,1399-01-16,39656.0,2020-04-04,,شکلر
51990,1399-01-17,37940.0,2020-04-05,39656.0,شکلر
51990,1399-01-18,38152.0,2020-04-06,37940.0,شکلر
51990,1399-01-19,39899.0,2020-04-07,38152.0,شکلر
51990,1399-01-24,38406.0,2020-04-12,39899.0,شکلر
51990,1399-01-25,36761.0,2020-04-13,38406.0,شکلر
51990,1399-01-26,35087.0,2020-04-14,36761.0,شکلر
51990,1399-01-27,36616.0,2020-04-15,35087.0,شکلر
51990,1399-01-30,37836.0,2020-04-18,36616.0,شکلر
51990,1399-01-31,36223.0,2020-04-19,37836.0,شکلر
51990,1399-02-01,37392.0,2020-04-20,36223.0,شکلر
51990,1399-02-06,41062.0,2020-04-25,37392.0,شکلر
51990,1399-02-07,40672.0,2020-04-26,41062.0,شکلر
51990,1399-02-08,41343.0,2020-04-27,40672.0,شکلر
51990,1399-02-09,43158.0,2020-04-28,41343.0,شکلر
51990,1399-02-10,44162.0,2020-04-29,43158.0,شکلر
51990,1399-02-13,46033.0,2020-05-02,44162.0,شکلر
51990,1399-02-14,48301.0,2020-05-03,46033.0,شکلر
51990,1399-02-15,50716.0,2020-05-04,48301.0,شکلر
51990,1399-02-16,50966.0,2020-05-05,50716.0,شکلر
51990,1399-02-17,48795.0,2020-05-06,50966.0,شکلر
51990,1399-02-20,48623.0,2020-05-09,48795.0,شکلر
51990,1399-02-21,46416.0,2020-05-10,48623.0,شکلر
51990,1399-02-22,44725.0,2020-05-11,46416.0,شکلر
51990,1399-02-23,42613.0,2020-05-12,44725.0,شکلر
51990,1399-02-24,43231.0,2020-05-13,42613.0,شکلر
51990,1399-02-27,41676.0,2020-05-16,43231.0,شکلر
51990,1399-02-28,42144.0,2020-05-17,41676.0,شکلر
51990,1399-02-29,44128.0,2020-05-18,42144.0,شکلر
51990,1399-02-30,43214.0,2020-05-19,44128.0,شکلر
51990,1399-02-31,41125.0,2020-05-20,43214.0,شکلر
51990,1399-03-03,39681.0,2020-05-23,41125.0,شکلر
51990,1399-03-06,38074.0,2020-05-26,39681.0,شکلر
51990,1399-03-07,38574.0,2020-05-27,38074.0,شکلر
51990,1399-03-10,40195.0,2020-05-30,38574.0,شکلر
51990,1399-03-11,40651.0,2020-05-31,40195.0,شکلر
51990,1399-03-12,40281.0,2020-06-01,40651.0,شکلر
51990,1399-03-13,40538.0,2020-06-02,40281.0,شکلر
51990,1399-03-17,42253.0,2020-06-06,40538.0,شکلر
51990,1399-03-18,44233.0,2020-06-07,42253.0,شکلر
51990,1399-03-19,42768.0,2020-06-08,44233.0,شکلر
51990,1399-03-20,41364.0,2020-06-09,42768.0,شکلر
51990,1399-03-21,41652.0,2020-06-10,41364.0,شکلر
51990,1399-03-24,42280.0,2020-06-13,41652.0,شکلر
51990,1399-03-25,43200.0,2020-06-14,42280.0,شکلر
51990,1399-03-26,45360.0,2020-06-15,43200.0,شکلر
51990,1399-03-27,47620.0,2020-06-16,45360.0,شکلر
51990,1399-03-31,49730.0,2020-06-20,47620.0,شکلر
51990,1399-04-01,47420.0,2020-06-21,49730.0,شکلر
51990,1399-04-02,47490.0,2020-06-22,47420.0,شکلر
51990,1399-04-03,49190.0,2020-06-23,47490.0,شکلر
51990,1399-04-04,46930.0,2020-06-24,49190.0,شکلر
51990,1399-04-07,48020.0,2020-06-27,46930.0,شکلر
51990,1399-04-08,45930.0,2020-06-28,48020.0,شکلر
51990,1399-04-09,45430.0,2020-06-29,45930.0,شکلر
51990,1399-04-10,47700.0,2020-06-30,45430.0,شکلر
51990,1399-04-11,50070.0,2020-07-01,47700.0,شکلر
51990,1399-04-14,50960.0,2020-07-04,50070.0,شکلر
51990,1399-04-15,53490.0,2020-07-05,50960.0,شکلر
51990,1399-04-16,56160.0,2020-07-06,53490.0,شکلر
51990,1399-04-17,58570.0,2020-07-07,56160.0,شکلر
51990,1399-04-18,55700.0,2020-07-08,58570.0,شکلر
51990,1399-04-21,54610.0,2020-07-11,55700.0,شکلر
51990,1399-04-22,56960.0,2020-07-12,54610.0,شکلر
51990,1399-04-23,54430.0,2020-07-13,56960.0,شکلر
51990,1399-04-24,52040.0,2020-07-14,54430.0,شکلر
51990,1399-04-25,52500.0,2020-07-15,52040.0,شکلر
51990,1399-04-28,54380.0,2020-07-18,52500.0,شکلر
51990,1399-04-29,52820.0,2020-07-19,54380.0,شکلر
51990,1399-04-30,51990.0,2020-07-20,52820.0,شکلر
38590,1399-01-27,8600.0,2020-04-15,,شستا
38590,1399-01-30,8889.0,2020-04-18,8600.0,شستا
38590,1399-01-31,9027.0,2020-04-19,8889.0,شستا
38590,1399-02-01,9269.0,2020-04-20,9027.0,شستا
38590,1399-02-02,9483.0,2020-04-21,9269.0,شستا
38590,1399-02-03,9722.0,2020-04-22,9483.0,شستا
38590,1399-02-06,10027.0,2020-04-25,9722.0,شستا
38590,1399-02-07,10480.0,2020-04-26,10027.0,شستا
38590,1399-02-08,10926.0,2020-04-27,10480.0,شستا
38590,1399-02-09,11472.0,2020-04-28,10926.0,شستا
38590,1399-02-10,12031.0,2020-04-29,11472.0,شستا
38590,1399-02-13,12636.0,2020-05-02,12031.0,شستا
38590,1399-02-14,13267.0,2020-05-03,12636.0,شستا
38590,1399-02-16,14465.0,2020-05-05,13267.0,شستا
38590,1399-02-21,15188.0,2020-05-10,14465.0,شستا
38590,1399-02-22,15947.0,2020-05-11,15188.0,شستا
38590,1399-02-23,16324.0,2020-05-12,15947.0,شستا
38590,1399-02-24,15548.0,2020-05-13,16324.0,شستا
38590,1399-02-27,14772.0,2020-05-16,15548.0,شستا
38590,1399-02-28,14399.0,2020-05-17,14772.0,شستا
38590,1399-02-29,15118.0,2020-05-18,14399.0,شستا
38590,1399-02-30,15273.0,2020-05-19,15118.0,شستا
38590,1399-02-31,15081.0,2020-05-20,15273.0,شستا
38590,1399-03-03,14430.0,2020-05-23,15081.0,شستا
38590,1399-03-06,13709.0,2020-05-26,14430.0,شستا
38590,1399-03-07,14394.0,2020-05-27,13709.0,شستا
38590,1399-03-10,15113.0,2020-05-30,14394.0,شستا
38590,1399-03-11,15023.0,2020-05-31,15113.0,شستا
38590,1399-03-12,15515.0,2020-06-01,15023.0,شستا
38590,1399-03-13,16215.0,2020-06-02,15515.0,شستا
38590,1399-03-17,17025.0,2020-06-06,16215.0,شستا
38590,1399-03-18,17874.0,2020-06-07,17025.0,شستا
38590,1399-03-19,18276.0,2020-06-08,17874.0,شستا
38590,1399-03-20,18101.0,2020-06-09,18276.0,شستا
38590,1399-03-21,18156.0,2020-06-10,18101.0,شستا
38590,1399-03-24,18430.0,2020-06-13,18156.0,شستا
38590,1399-03-25,17830.0,2020-06-14,18430.0,شستا
38590,1399-03-26,18100.0,2020-06-15,17830.0,شستا
38590,1399-03-27,18310.0,2020-06-16,18100.0,شستا
38590,1399-03-31,19070.0,2020-06-20,18310.0,شستا
38590,1399-04-01,19990.0,2020-06-21,19070.0,شستا
38590,1399-04-02,20980.0,2020-06-22,19990.0,شستا
38590,1399-04-03,21860.0,2020-06-23,20980.0,شستا
38590,1399-04-04,22540.0,2020-06-24,21860.0,شستا
38590,1399-04-07,23660.0,2020-06-27,22540.0,شستا
38590,1399-04-08,24660.0,2020-06-28,23660.0,شستا
38590,1399-04-09,25480.0,2020-06-29,24660.0,شستا
38590,1399-04-10,26750.0,2020-06-30,25480.0,شستا
38590,1399-04-11,27890.0,2020-07-01,26750.0,شستا
38590,1399-04-18,29280.0,2020-07-08,27890.0,شستا
38590,1399-04-21,30740.0,2020-07-11,29280.0,شستا
38590,1399-04-22,32270.0,2020-07-12,30740.0,شستا
38590,1399-04-23,33880.0,2020-07-13,32270.0,شستا
38590,1399-04-24,35570.0,2020-07-14,33880.0,شستا
38590,1399-04-25,35930.0,2020-07-15,35570.0,شستا
38590,1399-04-28,36760.0,2020-07-18,35930.0,شستا
38590,1399-04-29,38590.0,2020-07-19,36760.0,شستا
14440,1399-01-16,6477.0,2020-04-04,,سدور
14440,1399-01-17,6724.0,2020-04-05,6477.0,سدور
14440,1399-01-18,6975.0,2020-04-06,6724.0,سدور
14440,1399-01-19,7064.0,2020-04-07,6975.0,سدور
14440,1399-01-20,7197.0,2020-04-08,7064.0,سدور
14440,1399-01-23,7538.0,2020-04-11,7197.0,سدور
14440,1399-01-24,7811.0,2020-04-12,7538.0,سدور
14440,1399-01-25,8095.0,2020-04-13,7811.0,سدور
14440,1399-01-26,8047.0,2020-04-14,8095.0,سدور
14440,1399-01-27,8258.0,2020-04-15,8047.0,سدور
14440,1399-01-30,8601.0,2020-04-18,8258.0,سدور
14440,1399-01-31,8937.0,2020-04-19,8601.0,سدور
14440,1399-02-01,9023.0,2020-04-20,8937.0,سدور
14440,1399-02-02,8874.0,2020-04-21,9023.0,سدور
14440,1399-02-03,8756.0,2020-04-22,8874.0,سدور
14440,1399-02-06,9148.0,2020-04-25,8756.0,سدور
14440,1399-02-07,9459.0,2020-04-26,9148.0,سدور
14440,1399-02-08,9758.0,2020-04-27,9459.0,سدور
14440,1399-02-09,10081.0,2020-04-28,9758.0,سدور
14440,1399-02-10,10543.0,2020-04-29,10081.0,سدور
14440,1399-02-13,11002.0,2020-05-02,10543.0,سدور
14440,1399-02-14,11547.0,2020-05-03,11002.0,سدور
14440,1399-02-20,12575.0,2020-05-09,11547.0,سدور
14440,1399-02-21,13183.0,2020-05-10,12575.0,سدور
14440,1399-02-22,12980.0,2020-05-11,13183.0,سدور
14440,1399-02-23,12782.0,2020-05-12,12980.0,سدور
14440,1399-02-24,12167.0,2020-05-13,12782.0,سدور
14440,1399-02-30,11716.0,2020-05-19,12167.0,سدور
14440,1399-02-31,11557.0,2020-05-20,11716.0,سدور
14440,1399-03-03,11472.0,2020-05-23,11557.0,سدور
14440,1399-03-06,11452.0,2020-05-26,11472.0,سدور
14440,1399-03-07,10899.0,2020-05-27,11452.0,سدور
14440,1399-03-10,11179.0,2020-05-30,10899.0,سدور
14440,1399-03-11,10704.0,2020-05-31,11179.0,سدور
14440,1399-03-12,10197.0,2020-06-01,10704.0,سدور
14440,1399-03-13,10507.0,2020-06-02,10197.0,سدور
14440,1399-03-17,10673.0,2020-06-06,10507.0,سدور
14440,1399-03-18,10910.0,2020-06-07,10673.0,سدور
14440,1399-03-19,11347.0,2020-06-08,10910.0,سدور
14440,1399-03-20,11585.0,2020-06-09,11347.0,سدور
14440,1399-03-21,11713.0,2020-06-10,11585.0,سدور
14440,1399-03-24,11870.0,2020-06-13,11713.0,سدور
14440,1399-03-25,12190.0,2020-06-14,11870.0,سدور
14440,1399-03-26,12460.0,2020-06-15,12190.0,سدور
14440,1399-03-27,12760.0,2020-06-16,12460.0,سدور
14440,1399-03-31,13080.0,2020-06-20,12760.0,سدور
14440,1399-04-01,13170.0,2020-06-21,13080.0,سدور
14440,1399-04-02,13480.0,2020-06-22,13170.0,سدور
14440,1399-04-03,14060.0,2020-06-23,13480.0,سدور
14440,1399-04-04,14440.0,2020-06-24,14060.0,سدور
14440,1399-04-07,15160.0,2020-06-27,14440.0,سدور
14440,1399-04-08,15360.0,2020-06-28,15160.0,سدور
14440,1399-04-09,14620.0,2020-06-29,15360.0,سدور
14440,1399-04-10,15290.0,2020-06-30,14620.0,سدور
14440,1399-04-11,15830.0,2020-07-01,15290.0,سدور
14440,1399-04-14,15920.0,2020-07-04,15830.0,سدور
14440,1399-04-15,15800.0,2020-07-05,15920.0,سدور
14440,1399-04-16,15370.0,2020-07-06,15800.0,سدور
14440,1399-04-17,14620.0,2020-07-07,15370.0,سدور
14440,1399-04-18,13890.0,2020-07-08,14620.0,سدور
14440,1399-04-21,13230.0,2020-07-11,13890.0,سدور
14440,1399-04-22,13680.0,2020-07-12,13230.0,سدور
14440,1399-04-23,13090.0,2020-07-13,13680.0,سدور
14440,1399-04-24,12700.0,2020-07-14,13090.0,سدور
14440,1399-04-25,12830.0,2020-07-15,12700.0,سدور
14440,1399-04-28,13270.0,2020-07-18,12830.0,سدور
14440,1399-04-29,13760.0,2020-07-19,13270.0,سدور
14440,1399-04-30,14440.0,2020-07-20,13760.0,سدور
44220,1399-01-17,21707.0,2020-04-05,,زکوثر
44220,1399-01-18,22792.0,2020-04-06,21707.0,زکوثر
44220,1399-01-19,23931.0,2020-04-07,22792.0,زکوثر
44220,1399-01-20,25127.0,2020-04-08,23931.0,زکوثر
44220,1399-01-23,26383.0,2020-04-11,25127.0,زکوثر
44220,1399-01-24,27700.0,2020-04-12,26383.0,زکوثر
44220,1399-01-25,27142.0,2020-04-13,27700.0,زکوثر
44220,1399-01-26,25834.0,2020-04-14,27142.0,زکوثر
44220,1399-01-27,25090.0,2020-04-15,25834.0,زکوثر
44220,1399-01-30,26344.0,2020-04-18,25090.0,زکوثر
44220,1399-01-31,25105.0,2020-04-19,26344.0,زکوثر
44220,1399-02-01,25888.0,2020-04-20,25105.0,زکوثر
44220,1399-02-02,26556.0,2020-04-21,25888.0,زکوثر
44220,1399-02-03,27836.0,2020-04-22,26556.0,زکوثر
44220,1399-02-06,29227.0,2020-04-25,27836.0,زکوثر
44220,1399-02-07,30688.0,2020-04-26,29227.0,زکوثر
44220,1399-02-08,31030.0,2020-04-27,30688.0,زکوثر
44220,1399-02-09,32190.0,2020-04-28,31030.0,زکوثر
44220,1399-02-10,33506.0,2020-04-29,32190.0,زکوثر
